inference,honesty,seed,reused_baseline,n,correlation,rmse,mae,bias,prediction_sd,r_loss
True,True,120042,True,200,0.6867800074819828,0.14612404356104478,0.11069433452345794,-0.025491806607776724,0.08428383235722284,0.16808390333625275
True,True,1120042,True,200,0.6820800633901551,0.14720944778394898,0.11129560388490983,-0.024924392382977542,0.0820885926442955,0.16803327185131536
True,True,2120042,True,200,0.6584571801798145,0.1565894205997091,0.1208093996068417,-0.041176551114693066,0.0710276746848947,0.1692312585738965
True,False,120042,False,200,0.6815592367299339,0.14082594866345716,0.11130982105135598,-0.02595738677941241,0.14292836435101075,0.16751290077803044
True,False,1120042,False,200,0.7009666088128623,0.13603057379449504,0.10590058517403929,-0.01801157425729303,0.14555267392889498,0.1670771556821881
True,False,2120042,False,200,0.7007245780451593,0.13721965608142944,0.10887401502208661,-0.02695768871997233,0.14172947558776475,0.16744856303460004
False,True,120042,False,200,0.6651680877987611,0.1486936057307076,0.11234582362917614,-0.025687335303811017,0.08352671626887044,0.1681518808241632
False,True,1120042,False,200,0.6697035307957205,0.15134231245419175,0.11581276340033404,-0.03732034921273246,0.08118447740871146,0.16834653162304847
False,True,2120042,False,200,0.6677013826981308,0.1505538977110732,0.1145611764109244,-0.034027249581408466,0.0819136142420548,0.16799460737025085
False,False,120042,False,200,0.6696628379000957,0.14409929371964333,0.11501332936465924,-0.025650458904640825,0.1503861960542698,0.16849730172065983
False,False,1120042,False,200,0.6756059074915473,0.14281345105832874,0.11214955047678977,-0.03042037150977317,0.14267602659211717,0.1676361297935022
False,False,2120042,False,200,0.687571299137268,0.1413768530966904,0.11232125425365275,-0.033806244020506825,0.14327691190229824,0.1679354458364157
