,,,correlation,correlation,correlation,rmse,rmse,rmse,bias,bias,bias,prediction_sd,prediction_sd,prediction_sd
,,,mean,min,max,mean,min,max,mean,min,max,mean,min,max
condition,scenario,search,,,,,,,,,,,,
elastic_net_logistic,known_logistic_structure,not_applicable,0.9769673338603085,0.9769673338603085,0.9769673338603085,0.0413728875306499,0.0413728875306499,0.0413728875306499,0.004677405028360931,0.004677405028360931,0.004677405028360931,0.19264088707004043,0.19264088707004043,0.19264088707004043
estimated_nuisances_observed_outcome,a,all,0.6088566154815692,0.5999549727835101,0.621310396989831,0.15623550745513667,0.15409114670702856,0.15896621003611877,-0.028897272619205522,-0.03619438390835298,-0.021486124252130426,0.07881126532797562,0.07649839767638306,0.08264492506476441
estimated_nuisances_observed_outcome,a,sqrt,0.6228278770029955,0.6047894352529728,0.6435763995408559,0.16069655974583064,0.15862690942828472,0.16299164339038227,-0.03014235273996575,-0.0404402401715273,-0.02315120692214018,0.060706462046935555,0.05615706977376563,0.06317837191879669
estimated_nuisances_observed_outcome,c,all,0.6247197795565759,0.6101216264372368,0.6401807911340257,0.15051897523432625,0.1475157624739763,0.15482603066102246,-0.03085422855895938,-0.04174231503940249,-0.02528584406452363,0.10925063681453752,0.10511701978985082,0.11278799170207376
estimated_nuisances_observed_outcome,c,sqrt,0.6757724170173175,0.6584571801798145,0.6867800074819828,0.1499743039815676,0.14612404356104478,0.1565894205997091,-0.030530916701815777,-0.041176551114693066,-0.024924392382977542,0.07913336656213767,0.0710276746848947,0.08428383235722284
oracle_nuisances_noiseless_outcome,a,all,0.7634812169535957,0.7630374815786694,0.7638521255848624,0.12551380280195562,0.12528850244171114,0.1257562894746057,-0.018972238250537,-0.019984895686068923,-0.01715592786352241,0.11832510663372355,0.11754798672928647,0.11893004845154952
oracle_nuisances_noiseless_outcome,a,sqrt,0.7650135176319601,0.7630422039841148,0.767756342942095,0.14453959793800394,0.14390236927467306,0.14501632170301865,-0.020600849946299696,-0.022827408656067395,-0.01847670421077795,0.06776710079960113,0.0669403750487584,0.06874606327256998
oracle_nuisances_noiseless_outcome,c,all,0.7689663539633188,0.7657149350498876,0.7707045078441649,0.12317419162598897,0.12284169934382783,0.12351571109056898,-0.018083614516882972,-0.019187082786725068,-0.016893389589151972,0.12494420531191537,0.12422324457378292,0.12562215218270367
oracle_nuisances_noiseless_outcome,c,sqrt,0.7844750476543888,0.7821846776180345,0.7890010931670018,0.1352690023559068,0.13462103821403026,0.13580956967082172,-0.020204411425065478,-0.02205995170052594,-0.018998012005473762,0.0820852950677839,0.08113517993169841,0.08293689714797589
oracle_nuisances_observed_outcome,a,all,0.5932171283787196,0.5731181987264059,0.6044452128326782,0.15586880177970242,0.1547604835639326,0.15691602936796012,-0.024982285131130492,-0.03300668414055577,-0.016439813486190863,0.08627179601139329,0.07858021113909215,0.0929898584679774
oracle_nuisances_observed_outcome,a,sqrt,0.6174134993166075,0.5881077007107872,0.6330944950710147,0.15986323409390316,0.1572143340264773,0.16364488385206716,-0.027145953776756618,-0.03422021079021945,-0.018861156872667314,0.06234349935766859,0.058693044736945796,0.06743838963450396
oracle_nuisances_observed_outcome,c,all,0.6426770836938475,0.6402550766014725,0.6456049443973703,0.147020310000347,0.14544625293816038,0.14924973051272447,-0.02696262006386453,-0.03738561655857122,-0.02004447544634945,0.11418285407915396,0.11027493010698106,0.12113135873846013
oracle_nuisances_observed_outcome,c,sqrt,0.7171187762852167,0.7065940015765171,0.7328793042877269,0.14767583421440492,0.14358504901603927,0.15200221563043212,-0.028286080419843346,-0.03503361398287581,-0.021281868168500327,0.07323521363965135,0.06731935399581472,0.07927912661717766
unpenalized_logistic,known_logistic_structure,not_applicable,0.9813631431635846,0.9813631431635846,0.9813631431635846,0.04449424839442298,0.04449424839442298,0.04449424839442298,0.005703457972066584,0.005703457972066584,0.005703457972066584,0.2098877679777237,0.2098877679777237,0.2098877679777237
