method,replicate,features,encoded_columns,rows,fit_rows,r_loss,constant_effect,constant_r_loss,nuisance_hash,rmse,mae,bias,correlation,predicted_mean,oracle_mean,predicted_sd,oracle_sd,coverage_95,constant_rmse,zero_effect_rmse
all_candidates,1,352,1096,180,720,0.18999638847298372,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.1946224660680231,0.15096608211326132,0.024992536081348243,0.14919538408787425,-0.03779075810991353,-0.06278329419126177,0.023049636572933324,0.19509958319919418,0.5277777777777778,0.19666943271799683,0.20495265159057058
all_candidates,0,352,1096,180,720,0.19082924460938253,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.19092715446552083,0.1477947935772233,0.014249362605163978,0.24819612938852537,-0.048533931586097784,-0.06278329419126177,0.02537800959579319,0.19509958319919418,0.5166666666666667,0.19666943271799683,0.20495265159057058
all_candidates,2,352,1096,180,720,0.19005974048949337,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.19674269621949558,0.15313550297335812,0.03928452911195725,0.15488835042908441,-0.023498765079304512,-0.06278329419126177,0.02651272637048513,0.19509958319919418,0.5277777777777778,0.19666943271799683,0.20495265159057058
current_joint,1,18,58,180,720,0.19118914841626797,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.18716300263546995,0.1465119229930099,0.015537745295339606,0.29339021879751254,-0.04724554889592216,-0.06278329419126177,0.05832367573565742,0.19509958319919418,0.5333333333333333,0.19666943271799683,0.20495265159057058
current_joint,0,18,58,180,720,0.19040084861933432,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.18502151304276107,0.1446593614624246,0.014612103470447436,0.3267350148055464,-0.048171190720814334,-0.06278329419126177,0.05937154388010209,0.19509958319919418,0.5833333333333334,0.19666943271799683,0.20495265159057058
current_joint,2,18,58,180,720,0.19069534488334425,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.19089286317083756,0.14935980335626722,0.03316598869822378,0.26751253880613024,-0.029617305493037992,-0.06278329419126177,0.0526569501877373,0.19509958319919418,0.46111111111111114,0.19666943271799683,0.20495265159057058
llm_adjudication,1,11,36,180,720,0.1911919876759637,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.18986654232229858,0.14690780181203575,0.02735567714671679,0.3005362777968265,-0.03542761704454497,-0.06278329419126177,0.08461773451632905,0.19509958319919418,0.5666666666666667,0.19666943271799683,0.20495265159057058
llm_adjudication,0,11,36,180,720,0.19175427081253937,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.1925185693383811,0.15041995529774818,0.02252566113492975,0.27362336695697614,-0.040257633056332016,-0.06278329419126177,0.09001681435960456,0.19509958319919418,0.5388888888888889,0.19666943271799683,0.20495265159057058
llm_adjudication,2,11,36,180,720,0.19094217818567702,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.19258701129945144,0.15096773329290572,0.0335656164444441,0.28348530538718225,-0.029217677746817675,-0.06278329419126177,0.08626297551877926,0.19509958319919418,0.5833333333333334,0.19666943271799683,0.20495265159057058
permissive_union,1,49,158,180,720,0.18902591426221538,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.18781572426957627,0.1449627969612812,0.03245932786533269,0.3430126783817648,-0.030323966325929083,-0.06278329419126177,0.04170664311651881,0.19509958319919418,0.5111111111111111,0.19666943271799683,0.20495265159057058
permissive_union,0,49,158,180,720,0.18963754837942434,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.18759833760235764,0.14507656171322555,0.019040422638385065,0.3035005497561884,-0.043742871552876705,-0.06278329419126177,0.0426928265567405,0.19509958319919418,0.5166666666666667,0.19666943271799683,0.20495265159057058
permissive_union,2,49,158,180,720,0.18909221049779923,-0.03798372965638751,0.19073416378826175,fc0814beb20fdbc3001ad6bc259896e87dd758f4a72f5d71d86b228d7541ee29,0.1871194322079514,0.14333943754411296,0.03177625836835852,0.3682573751828313,-0.031007035822903255,-0.06278329419126177,0.038649340923312216,0.19509958319919418,0.5,0.19666943271799683,0.20495265159057058
