inference,sample_fraction,honesty,seed,correlation,rmse,bias,prediction_sd,r_loss
False,0.45,True,120042,0.6651680877987611,0.1486936057307076,-0.025687335303811017,0.08352671626887044,0.1681518808241632
False,0.45,True,1120042,0.6697035307957205,0.15134231245419175,-0.03732034921273246,0.08118447740871146,0.16834653162304847
False,0.45,True,2120042,0.6677013826981308,0.1505538977110732,-0.034027249581408466,0.0819136142420548,0.16799460737025085
False,0.45,False,120042,0.6696628379000957,0.14409929371964333,-0.025650458904640825,0.1503861960542698,0.16849730172065983
False,0.45,False,1120042,0.6756059074915473,0.14281345105832874,-0.03042037150977317,0.14267602659211717,0.1676361297935022
False,0.45,False,2120042,0.687571299137268,0.1413768530966904,-0.033806244020506825,0.14327691190229824,0.1679354458364157
False,0.95,True,120042,0.6737123348863424,0.14343243036633882,-0.029877249023563545,0.10764723380447369,0.16815561371410034
False,0.95,True,1120042,0.6535953039624556,0.14619133770650816,-0.030141235891445448,0.10871071561238299,0.1681791800715005
False,0.95,True,2120042,0.6715107017016366,0.14559991433655922,-0.03488327516608802,0.10261194075620485,0.16813804757816606
False,0.95,False,120042,0.5958602799918526,0.170534902207671,-0.020318826137600263,0.18859202134627656,0.1693883791065334
False,0.95,False,1120042,0.5915420226293299,0.1740384391977942,-0.021600395795370795,0.1938877531141624,0.17083659810075844
False,0.95,False,2120042,0.5929219220657326,0.17171057925929434,-0.021358886855848757,0.1895627019363399,0.16953639909396628
