snapshot_utc,feature_id,name,retained_confounder,fold_001,fold_002,fold_003,fold_004,fold_005,top_8_folds,top_16_folds,top_32_folds,top_64_folds
2026-09-22T16:11:23.286833+00:00,outer_001_feature_121,eortc_qlq_c30_social_function,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,9,0,1,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_124,esophagitis,False,12,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,1,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_177,knee_osteoarthritis_presence,True,outside_top_64,outside_top_64,outside_top_64,16,outside_top_64,0,1,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_212,medication_pemetrexed,True,outside_top_64,38,outside_top_64,39,11,0,1,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_252,periventricular_signal_abnormality,True,16,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,1,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_297,serum_calcium,True,outside_top_64,outside_top_64,13,outside_top_64,39,0,1,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_348,wheezing_presence,True,outside_top_64,outside_top_64,outside_top_64,14,outside_top_64,0,1,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_334,tumor_mutational_burden,False,27,28,outside_top_64,outside_top_64,31,0,0,3,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_026,ast_level,False,52,outside_top_64,30,24,outside_top_64,0,0,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_030,axial_structure_abnormality,False,19,outside_top_64,outside_top_64,17,outside_top_64,0,0,2,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_033,biomarker_fgfr_status,True,outside_top_64,31,24,outside_top_64,60,0,0,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_034,biopsy_method,True,18,outside_top_64,53,48,19,0,0,2,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_188,liver_metastasis_presence,True,outside_top_64,outside_top_64,28,22,58,0,0,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_204,medication_cisplatin,False,outside_top_64,29,outside_top_64,outside_top_64,26,0,0,2,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_226,necrotic_fluid_presence,False,outside_top_64,47,outside_top_64,30,29,0,0,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_312,surgical_procedure,False,outside_top_64,41,35,21,28,0,0,2,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_338,vasogenic_edema_presence,True,outside_top_64,17,outside_top_64,23,35,0,0,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_006,adjuvant_chemotherapy_administered,True,48,25,outside_top_64,59,36,0,0,1,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_008,adrenal_nodule_size,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,23,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_024,appetite_status,False,outside_top_64,57,outside_top_64,31,40,0,0,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_036,blood_pressure,True,outside_top_64,outside_top_64,26,53,outside_top_64,0,0,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_045,bone_pain_status,True,outside_top_64,61,25,outside_top_64,outside_top_64,0,0,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_048,brain_edema_status,True,outside_top_64,outside_top_64,27,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_053,brain_structure_enhancement,True,outside_top_64,outside_top_64,outside_top_64,20,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_055,brainstem_size,False,outside_top_64,outside_top_64,34,35,32,0,0,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_057,calvarium_lytic_sclerotic_lesions,False,outside_top_64,outside_top_64,17,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_082,comorbidities,True,outside_top_64,outside_top_64,outside_top_64,25,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_099,deconditioning,True,22,59,55,outside_top_64,outside_top_64,0,0,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_114,employment_status,True,49,outside_top_64,23,47,outside_top_64,0,0,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_117,eortc_qlq_c30_emotional_function,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,20,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_134,fatigue,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,30,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_142,genetic_mutation_status,False,28,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_143,genomic_dna_input_amount,True,outside_top_64,outside_top_64,29,outside_top_64,outside_top_64,0,0,1,1
