target,family,scope,mode,kind,radius,loss,gain_over_constant,loss_increase_from_original
outcome,linear,conditional,refit,random,0.1,0.6441091765409052,0.04404739291861756,2.4650484316044442e-05
outcome,linear,conditional,refit,random,0.2,0.6441188778775798,0.04403769158194295,3.435182099065148e-05
outcome,linear,conditional,refit,targeted,0.02,0.6441141200096253,0.04404244944989749,2.95939530361089e-05
outcome,linear,conditional,refit,targeted,0.05,0.6441329781648121,0.04402359129471065,4.845210822294277e-05
outcome,linear,conditional,refit,targeted,0.1,0.6440950050665093,0.04406156439301343,1.0479009920167925e-05
outcome,linear,conditional,refit,targeted,0.2,0.6437537191829223,0.04440285027660048,-0.0003308068736668801
outcome,linear,conditional,without_query,without_query,0.0,0.644655991389709,0.0435005780698138,0.0005714653331198027
outcome,linear,solo,frozen,random,0.02,0.6873681554205426,0.0007884140389801422,-1.4699362616035216e-06
outcome,linear,solo,frozen,random,0.05,0.6873640525149309,0.0007925169445918296,-5.5728418732909905e-06
outcome,linear,solo,frozen,random,0.1,0.6873787035600711,0.0007778658994516103,9.07820326692832e-06
outcome,linear,solo,frozen,random,0.2,0.6875768362047829,0.0005797332547398026,0.00020721084797873602
outcome,linear,solo,frozen,targeted,0.02,0.6873583677090249,0.0007982017504977579,-1.1257647779219226e-05
outcome,linear,solo,frozen,targeted,0.05,0.6873385256276805,0.0008180438318422923,-3.109972912375358e-05
outcome,linear,solo,frozen,targeted,0.1,0.6874791093926649,0.0006774600668578267,0.00010948403586071187
outcome,linear,solo,frozen,targeted,0.2,0.6882154085971037,-5.8839137580957156e-05,0.0008457832402994958
outcome,linear,solo,original,original,0.0,0.6873696253568042,0.0007869441027185387,0.0
outcome,linear,solo,refit,random,0.02,0.6873713027956856,0.0007852666638372287,1.6774388813098895e-06
outcome,linear,solo,refit,random,0.05,0.6873619720872569,0.000794597372265752,-7.653269547213349e-06
outcome,linear,solo,refit,random,0.1,0.6873553509201352,0.0008012185393875129,-1.4274436668974211e-05
