inner_fold,family,mode,query,scope,target,variant,kind,radius,control,distance,validation_n,loss,constant_loss,gain_over_constant,original_loss,loss_increase_from_original,without_query_loss,gain_over_without_query
1,constant,constant,-1,constant,treatment,-1,constant,0.0,-1,0.0,160,0.6919406890100659,0.6919406890100659,0.0,,,,
1,constant,constant,-1,constant,outcome,-1,constant,0.0,-1,0.0,160,0.686928996700938,0.686928996700938,0.0,,,,
1,constant,constant,-1,constant,effect,-1,constant,0.0,-1,0.0,160,0.19027173946226697,0.19027173946226697,0.0,,,,
1,linear,original,0,solo,treatment,0,original,0.0,-1,0.0,160,0.6922105892297161,0.6919406890100659,-0.00026990021965023203,0.6922105892297161,0.0,,
1,linear,frozen,0,solo,treatment,5,targeted,0.02,-1,0.015941090881824493,160,0.692176101128819,0.6919406890100659,-0.00023541211875310886,0.6922105892297161,-3.4488100897123175e-05,,
1,linear,refit,0,solo,treatment,5,targeted,0.02,-1,0.015941090881824493,160,0.6922366872184387,0.6919406890100659,-0.000295998208372783,0.6922105892297161,2.609798872255098e-05,,
1,linear,frozen,0,solo,treatment,6,random,0.02,0,0.015941090881824493,160,0.6922119587751354,0.6919406890100659,-0.00027126976506952616,0.6922105892297161,1.369545419294127e-06,,
1,linear,refit,0,solo,treatment,6,random,0.02,0,0.015941090881824493,160,0.6922127784872485,0.6919406890100659,-0.0002720894771826021,0.6922105892297161,2.1892575323700925e-06,,
1,linear,frozen,0,solo,treatment,7,random,0.02,1,0.015941090881824493,160,0.692209273844111,0.6919406890100659,-0.0002685848340451269,0.6922105892297161,-1.315385605105135e-06,,
1,linear,refit,0,solo,treatment,7,random,0.02,1,0.015941090881824493,160,0.6922097882981243,0.6919406890100659,-0.00026909928805840533,0.6922105892297161,-8.009315918267035e-07,,
1,linear,frozen,0,solo,treatment,8,random,0.02,2,0.015941090881824493,160,0.6922125164593508,0.6919406890100659,-0.00027182744928488933,0.6922105892297161,1.9272296346573015e-06,,
1,linear,refit,0,solo,treatment,8,random,0.02,2,0.015941090881824493,160,0.6922093070312278,0.6919406890100659,-0.0002686180211619593,0.6922105892297161,-1.2821984882727122e-06,,
1,linear,frozen,0,solo,treatment,9,random,0.02,3,0.015941090881824493,160,0.6922155393491094,0.6919406890100659,-0.00027485033904350864,0.6922105892297161,4.9501193932766085e-06,,
1,linear,refit,0,solo,treatment,9,random,0.02,3,0.015941090881824493,160,0.6922139251925841,0.6919406890100659,-0.0002732361825181773,0.6922105892297161,3.3359628679452413e-06,,
1,linear,frozen,0,solo,treatment,10,random,0.02,4,0.015941090881824493,160,0.692214499637682,0.6919406890100659,-0.0002738106276161112,0.6922105892297161,3.910407965879159e-06,,
1,linear,refit,0,solo,treatment,10,random,0.02,4,0.015941090881824493,160,0.6922132712629938,0.6919406890100659,-0.00027258225292792204,0.6922105892297161,2.68203327769001e-06,,
1,linear,frozen,0,solo,treatment,11,targeted,0.05,-1,0.05000070109963417,160,0.6921065900304144,0.6919406890100659,-0.0001659010203485245,0.6922105892297161,-0.00010399919930170753,,
1,linear,refit,0,solo,treatment,11,targeted,0.05,-1,0.05000070109963417,160,0.6923058556622903,0.6919406890100659,-0.00036516665222441347,0.6922105892297161,9.526643257418144e-05,,
1,linear,frozen,0,solo,treatment,12,random,0.05,0,0.05000070109963417,160,0.6922114399396946,0.6919406890100659,-0.0002707509296286936,0.6922105892297161,8.507099784615946e-07,,
1,linear,refit,0,solo,treatment,12,random,0.05,0,0.05000070109963417,160,0.69222853697255,0.6919406890100659,-0.00028784796248415567,0.6922105892297161,1.794774283392364e-05,,
1,linear,frozen,0,solo,treatment,13,random,0.05,1,0.05000070109963417,160,0.6922009861900886,0.6919406890100659,-0.0002602971800227394,0.6922105892297161,-9.603039627492649e-06,,
1,linear,refit,0,solo,treatment,13,random,0.05,1,0.05000070109963417,160,0.6922323840402649,0.6919406890100659,-0.0002916950301989907,0.6922105892297161,2.1794810548758647e-05,,
1,linear,frozen,0,solo,treatment,14,random,0.05,2,0.05000070109963417,160,0.6922196969544705,0.6919406890100659,-0.00027900794440460785,0.6922105892297161,9.107724754375823e-06,,
1,linear,refit,0,solo,treatment,14,random,0.05,2,0.05000070109963417,160,0.6922088723687572,0.6919406890100659,-0.0002681833586912763,0.6922105892297161,-1.7168609589557349e-06,,
1,linear,frozen,0,solo,treatment,15,random,0.05,3,0.05000070109963417,160,0.6922277083884583,0.6919406890100659,-0.00028701937839237246,0.6922105892297161,1.7119158742140428e-05,,
1,linear,refit,0,solo,treatment,15,random,0.05,3,0.05000070109963417,160,0.6922063891956695,0.6919406890100659,-0.0002657001856035679,0.6922105892297161,-4.200034046664136e-06,,
1,linear,frozen,0,solo,treatment,16,random,0.05,4,0.05000070109963417,160,0.6922174981268049,0.6919406890100659,-0.00027680911673899633,0.6922105892297161,6.908897088764299e-06,,
1,linear,refit,0,solo,treatment,16,random,0.05,4,0.05000070109963417,160,0.692222069014593,0.6919406890100659,-0.00028138000452715417,0.6922105892297161,1.1479784876922139e-05,,
1,linear,frozen,0,solo,treatment,17,targeted,0.1,-1,0.10000008344650269,160,0.69203834564789,0.6919406890100659,-9.765663782412837e-05,0.6922105892297161,-0.00017224358182610366,,
1,linear,refit,0,solo,treatment,17,targeted,0.1,-1,0.10000008344650269,160,0.6924355346929414,0.6919406890100659,-0.0004948456828754999,0.6922105892297161,0.00022494546322526787,,
1,linear,frozen,0,solo,treatment,18,random,0.1,0,0.10000008344650269,160,0.6922038665813817,0.6919406890100659,-0.0002631775713157758,0.6922105892297161,-6.722648334456238e-06,,
1,linear,refit,0,solo,treatment,18,random,0.1,0,0.10000008344650269,160,0.6922061407479332,0.6919406890100659,-0.0002654517378672949,0.6922105892297161,-4.448481782937108e-06,,
1,linear,frozen,0,solo,treatment,19,random,0.1,1,0.10000008344650269,160,0.6922437261502618,0.6919406890100659,-0.0003030371401958609,0.6922105892297161,3.313692054562889e-05,,
1,linear,refit,0,solo,treatment,19,random,0.1,1,0.10000008344650269,160,0.6922020603999183,0.6919406890100659,-0.00026137138985238284,0.6922105892297161,-8.528829797849191e-06,,
1,linear,frozen,0,solo,treatment,20,random,0.1,2,0.10000008344650269,160,0.6922455700631905,0.6919406890100659,-0.0003048810531246504,0.6922105892297161,3.498083347441838e-05,,
1,linear,refit,0,solo,treatment,20,random,0.1,2,0.10000008344650269,160,0.6922281538887378,0.6919406890100659,-0.00028746487867192805,0.6922105892297161,1.7564659021696016e-05,,
1,linear,frozen,0,solo,treatment,21,random,0.1,3,0.10000008344650269,160,0.692228645967664,0.6919406890100659,-0.00028795695759809004,0.6922105892297161,1.8056737947858004e-05,,
1,linear,refit,0,solo,treatment,21,random,0.1,3,0.10000008344650269,160,0.6922215732923025,0.6919406890100659,-0.0002808842822366042,0.6922105892297161,1.098406258637219e-05,,
1,linear,frozen,0,solo,treatment,22,random,0.1,4,0.10000008344650269,160,0.6922204827009202,0.6919406890100659,-0.00027979369085429084,0.6922105892297161,9.893471204058812e-06,,
1,linear,refit,0,solo,treatment,22,random,0.1,4,0.10000008344650269,160,0.6922171942847578,0.6919406890100659,-0.0002765052746919183,0.6922105892297161,6.605055041686292e-06,,
1,linear,frozen,0,solo,treatment,23,targeted,0.2,-1,0.1999998837709427,160,0.691957884285306,0.6919406890100659,-1.7195275240133867e-05,0.6922105892297161,-0.00025270494441009816,,
1,linear,refit,0,solo,treatment,23,targeted,0.2,-1,0.1999998837709427,160,0.6928389151755225,0.6919406890100659,-0.0008982261654566503,0.6922105892297161,0.0006283259458064183,,
1,linear,frozen,0,solo,treatment,24,random,0.2,0,0.1999998837709427,160,0.6922984388167975,0.6919406890100659,-0.00035774980673164425,0.6922105892297161,8.784958708141222e-05,,
1,linear,refit,0,solo,treatment,24,random,0.2,0,0.1999998837709427,160,0.692234141646027,0.6919406890100659,-0.00029345263596114446,0.6922105892297161,2.3552416310912427e-05,,
1,linear,frozen,0,solo,treatment,25,random,0.2,1,0.1999998837709427,160,0.6921895321892364,0.6919406890100659,-0.00024884317917051035,0.6922105892297161,-2.1057040479721678e-05,,
1,linear,refit,0,solo,treatment,25,random,0.2,1,0.1999998837709427,160,0.6921822673064381,0.6919406890100659,-0.0002415782963721691,0.6922105892297161,-2.8321923278062933e-05,,
1,linear,frozen,0,solo,treatment,26,random,0.2,2,0.1999998837709427,160,0.6922618551188193,0.6919406890100659,-0.00032116610875343454,0.6922105892297161,5.126588910320251e-05,,
1,linear,refit,0,solo,treatment,26,random,0.2,2,0.1999998837709427,160,0.6923115003482886,0.6919406890100659,-0.0003708113382226985,0.6922105892297161,0.00010091111857246648,,
1,linear,frozen,0,solo,treatment,27,random,0.2,3,0.1999998837709427,160,0.6922910672418798,0.6919406890100659,-0.00035037823181394145,0.6922105892297161,8.047801216370942e-05,,
1,linear,refit,0,solo,treatment,27,random,0.2,3,0.1999998837709427,160,0.6922304149761637,0.6919406890100659,-0.0002897259660977758,0.6922105892297161,1.9825746447543757e-05,,
1,linear,frozen,0,solo,treatment,28,random,0.2,4,0.1999998837709427,160,0.6921878697672634,0.6919406890100659,-0.0002471807571975404,0.6922105892297161,-2.271946245269163e-05,,
1,linear,refit,0,solo,treatment,28,random,0.2,4,0.1999998837709427,160,0.6922342650453472,0.6919406890100659,-0.000293576035281351,0.6922105892297161,2.367581563111898e-05,,
1,linear,original,0,solo,outcome,0,original,0.0,-1,0.0,160,0.6901967786320367,0.686928996700938,-0.0032677819310986678,0.6901967786320367,0.0,,
1,linear,frozen,0,solo,outcome,5,targeted,0.02,-1,0.015941090881824493,160,0.6901355828677287,0.686928996700938,-0.0032065861667907036,0.6901967786320367,-6.119576430796414e-05,,
1,linear,refit,0,solo,outcome,5,targeted,0.02,-1,0.015941090881824493,160,0.6902701074470775,0.686928996700938,-0.0033411107461395195,0.6901967786320367,7.332881504085176e-05,,
1,linear,frozen,0,solo,outcome,6,random,0.02,0,0.015941090881824493,160,0.6901950069827122,0.686928996700938,-0.003266010281774201,0.6901967786320367,-1.7716493244668285e-06,,
1,linear,refit,0,solo,outcome,6,random,0.02,0,0.015941090881824493,160,0.6901958662418887,0.686928996700938,-0.0032668695409506787,0.6901967786320367,-9.123901479890506e-07,,
1,linear,frozen,0,solo,outcome,7,random,0.02,1,0.015941090881824493,160,0.6902069545284137,0.686928996700938,-0.0032779578274757526,0.6901967786320367,1.0175896377084825e-05,,
1,linear,refit,0,solo,outcome,7,random,0.02,1,0.015941090881824493,160,0.6901967628306256,0.686928996700938,-0.0032677661296875993,0.6901967786320367,-1.580141106849453e-08,,
