inner_fold,sample,target,variant,control,distance,kind,query,radius,training_sd_ratio,n,moment,row_score_sd,standardized_score,abs_studentized_score,fixed_scale_score,abs_fixed_scale_score,activation_sd,activation_correlation_with_original,restart,training_criterion,seed
1,train,effect,0,-1,0.0,original,0,0.0,1.0,640,-0.0013394407273600196,0.007811159348769571,-4.338084322827175,4.338084322827175,-4.338084322827175,4.338084322827175,0.03518679365515709,0.9999999999999998,,,
1,train,effect,1,-1,0.0,original,1,0.0,1.0,640,-0.00011710691807426711,0.0070208341561310535,-0.4219721846630224,0.4219721846630224,-0.4219721846630224,0.4219721846630224,0.027644723653793335,1.0,,,
1,train,effect,2,-1,0.0,original,2,0.0,1.0,640,-0.0007205197538152945,0.004264825914235594,-4.27400051869833,4.27400051869833,-4.27400051869833,4.27400051869833,0.020575283095240593,1.0,,,
1,train,effect,3,-1,0.0,original,3,0.0,1.0,640,-0.0010204206549763004,0.007308069459671897,-3.5323730394328385,3.5323730394328385,-3.5323730394328385,3.5323730394328385,0.033354077488183975,1.0,,,
1,train,effect,4,-1,0.0,original,4,0.0,1.0,640,0.00040357210541118634,0.011446721590909353,0.8919284307377153,0.8919284307377153,0.8919284307377153,0.8919284307377153,0.04967188835144043,0.9999999999999999,,,
1,train,effect,5,-1,0.015941090881824493,targeted,0,0.02,0.9583770036697388,640,-0.0012860732342960678,0.007512845988895945,-4.330631203318578,4.330631203318578,-4.165241523380858,4.165241523380858,0.03372221440076828,0.9994700671600153,0.0,0.028378769755363464,
1,train,effect,6,0,0.015941090881824493,random,0,0.02,1.0009596347808838,640,-0.0013395282427956876,0.007817440014958632,-4.334882242014696,4.334882242014696,-4.338367761527912,4.338367761527912,0.03522055968642235,0.999996437271893,,,20360942.0
1,train,effect,7,1,0.015941090881824493,random,0,0.02,0.9997513890266418,640,-0.0013386344704221533,0.007809121108208266,-4.336604667583198,4.336604667583198,-4.33547307582618,4.33547307582618,0.0351780466735363,0.9999965594063297,,,20360943.0
1,train,effect,8,2,0.015941090881824493,random,0,0.02,1.000240683555603,640,-0.0013390193213261429,0.007813512049684099,-4.335413687917389,4.335413687917389,-4.336719503263484,4.336719503263484,0.03519526124000549,0.9999963694683456,,,20360944.0
1,train,effect,9,3,0.015941090881824493,random,0,0.02,0.9985173940658569,640,-0.001337905099963052,0.007800343074571227,-4.339119311642394,4.339119311642394,-4.333110843224521,4.333110843224521,0.03513462468981743,0.9999975210390398,,,20360945.0
1,train,effect,10,4,0.015941090881824493,random,0,0.02,1.0004838705062866,640,-0.0013405825214488827,0.007815113113209508,-4.339585720927852,4.339585720927852,-4.341782283427907,4.341782283427907,0.03520381823182106,0.9999969352896636,,,20360946.0
1,train,effect,11,-1,0.05000070109963417,targeted,0,0.05,0.8697700500488281,640,-0.0011685215851668428,0.006881356628927238,-4.295885132491622,4.295885132491622,-3.7845236940708142,3.7845236940708142,0.030604420229792595,0.9933188310584748,0.0,0.02437913790345192,
1,train,effect,12,0,0.05000070109963417,random,0,0.05,0.9961867928504944,640,-0.0013346426389670497,0.007786529591575152,-4.336217362949646,4.336217362949646,-4.322544619119564,4.322544619119564,0.035052619874477386,0.9999699307306531,,,20360972.0
1,train,effect,13,1,0.05000070109963417,random,0,0.05,0.9957977533340454,640,-0.0013344250626327746,0.007776725098775379,-4.340976450765291,4.340976450765291,-4.321839948531715,4.321839948531715,0.03503892943263054,0.9999718592511306,,,20360973.0
1,train,effect,14,2,0.05000070109963417,random,0,0.05,0.9996312260627747,640,-0.0013372989647987266,0.007807895096473057,-4.332958462271938,4.332958462271938,-4.331147736235041,4.331147736235041,0.035173818469047546,0.9999771536998305,,,20360974.0
1,train,effect,15,3,0.05000070109963417,random,0,0.05,1.0009626150131226,640,-0.0013391717313343823,0.007822257374279181,-4.331059587021545,4.331059587021545,-4.337213117839986,4.337213117839986,0.035220663994550705,0.9999670931647887,,,20360975.0
1,train,effect,16,4,0.05000070109963417,random,0,0.05,0.9991168975830078,640,-0.0013367535301837049,0.0078085552218328256,-4.330825055914958,4.330825055914958,-4.329381221820315,4.329381221820315,0.03515572100877762,0.9999729677811299,,,20360976.0
1,train,effect,17,-1,0.10000008344650269,targeted,0,0.1,0.7662156224250793,640,-0.0010189766907264686,0.0061453932923058565,-4.194735239290189,4.194735239290189,-3.300188442141252,3.300188442141252,0.026960670948028564,0.9699453120843086,1.0,0.019017569720745087,
1,train,effect,18,0,0.10000008344650269,random,0,0.1,0.9958396553993225,640,-0.0013284656723159295,0.007766719420010877,-4.3271575456082045,4.3271575456082045,-4.302539103649935,4.302539103649935,0.03504040464758873,0.9998355301058195,,,20361022.0
1,train,effect,19,1,0.10000008344650269,random,0,0.1,0.9973992705345154,640,-0.0013357501578637727,0.007794551490851933,-4.3353492641484275,4.3353492641484275,-4.326131571692358,4.326131571692358,0.03509528189897537,0.9998977602207205,,,20361023.0
1,train,effect,20,2,0.10000008344650269,random,0,0.1,0.983058512210846,640,-0.0013231466979164307,0.007687931327030821,-4.354000644345156,4.354000644345156,-4.285312391795755,4.285312391795755,0.03459067642688751,0.9998468903461332,,,20361024.0
1,train,effect,21,3,0.10000008344650269,random,0,0.1,1.0010924339294434,640,-0.0013392081995839684,0.007807968617705843,-4.339103681595506,4.339103681595506,-4.337331228584701,4.337331228584701,0.03522523120045662,0.9998663246562365,,,20361025.0
1,train,effect,22,4,0.10000008344650269,random,0,0.1,0.9907593727111816,640,-0.0013258234007904276,0.007736278978850742,-4.335543465389216,4.335543465389216,-4.293981504610802,4.293981504610802,0.034861646592617035,0.9998747414820509,,,20361026.0
1,train,effect,23,-1,0.1999998837709427,targeted,0,0.2,0.6145901679992676,640,-0.0007208656014918124,0.0050531658058784335,-3.6089489641199255,3.6089489641199255,-2.334687680328,2.334687680328,0.0216254573315382,0.8207448373653304,1.0,0.0105168167501688,
1,train,effect,24,0,0.1999998837709427,random,0,0.2,0.9681875109672546,640,-0.0013017446035444116,0.007545367795399235,-4.364508652891112,4.364508652891112,-4.215996827340794,4.215996827340794,0.034067414700984955,0.9995243047926566,,,20361122.0
1,train,effect,25,1,0.1999998837709427,random,0,0.2,0.9783570170402527,640,-0.0013005232510912648,0.007641630241706363,-4.305485079358793,4.305485079358793,-4.212041198830017,4.212041198830017,0.034425247460603714,0.9992525678722581,,,20361123.0
1,train,effect,26,2,0.1999998837709427,random,0,0.2,0.9599067568778992,640,-0.0012812967546581414,0.007493175274155045,-4.325873563670062,4.325873563670062,-4.149771804555425,4.149771804555425,0.033776041120290756,0.9991916980744691,,,20361124.0
1,train,effect,27,3,0.1999998837709427,random,0,0.2,0.9639486074447632,640,-0.0012973784117338745,0.007542912983476404,-4.351285268381725,4.351285268381725,-4.201855919231273,4.201855919231273,0.03391826152801514,0.9994370139743695,,,20361125.0
1,train,effect,28,4,0.1999998837709427,random,0,0.2,0.9667462706565857,640,-0.001285866909794403,0.007546072192991894,-4.31087124405618,4.31087124405618,-4.164573294419467,4.164573294419467,0.03401670232415199,0.9994413110838294,,,20361126.0
1,train,effect,29,-1,8.81936088603652e-08,targeted,1,0.02,0.9999999403953552,640,-0.00011710600894161989,0.007020833959401477,-0.42196892060285424,0.42196892060285424,-0.4219689087789363,0.4219689087789363,0.027644721791148186,0.9999999999981134,0.0,0.0002782150695566088,
1,train,effect,30,0,8.81936088603652e-08,random,1,0.02,0.9999999403953552,640,-0.00011710598196984841,0.007020833927324899,-0.42196882534315555,0.42196882534315555,-0.4219688115913617,0.4219688115913617,0.027644721791148186,0.9999999999986197,,,20361942.0
1,train,effect,31,1,8.81936088603652e-08,random,1,0.02,1.0,640,-0.00011710609683049797,0.00702083433091507,-0.42196921496460654,0.42196921496460654,-0.4219692254695512,0.4219692254695512,0.027644723653793335,0.9999999999986273,,,20361943.0
