model,training_cohort,test_set,training_rows,selected_C,test_rows,correlation,rmse,mae,bias,mean_effect,prediction_sd,r_loss,factual_log_loss,factual_auc,nonzero_interaction_coefficients
elastic_net,eligible_720,eligible_180,720.0,0.1,180.0,0.5201964765482557,0.1794590043684813,0.13345535266715708,0.06621584396977129,0.003432549778509524,0.1090658987531489,0.18896146703138328,0.5942581502368814,0.7313125,12.0
ridge,eligible_720,eligible_180,720.0,0.0031622776601683794,180.0,0.302482238960258,0.21404326712005503,0.16445804321076174,0.10545845787736105,0.0426751636860993,0.06959042602691654,0.1878743652364593,0.5806358535632986,0.75925,982.0
forest_all_split_features,,,720.0,,180.0,0.3363914857871444,0.18825746735678037,0.144854371681985,0.02413540039943722,-0.03864789379182455,0.03307359369396929,0.1897960889745072,,,
forest_sqrt,,,720.0,,180.0,0.1840932879684947,0.19409743891767983,0.15063212622128094,0.026175475932823128,-0.03660781825843865,0.024980124179737228,0.19029512452395322,,,
